|Player|venue|final_score_bat|final_score_ball|player_score
281|AJ Tye|Sharjah Cricket Stadium|5.38125|29.246|34.62725
282|AJ Tye|Wankhede Stadium|0.0|50.529999999999994|50.529999999999994
283|AL Menaria|Eden Gardens|5.491499999999999|3.28125|8.772749999999998
284|AL Menaria|MA Chidambaram Stadium, Chepauk|6.0915|1.40625|7.49775
285|AL Menaria|Punjab Cricket Association Stadium, Mohali|7.2165|1.40625|8.62275
286|AL Menaria|Rajiv Gandhi International Stadium, Uppal|6.1665|1.40625|7.57275
287|AL Menaria|Sawai Mansingh Stadium|5.81025|2.025|7.83525
288|AL Menaria|Wankhede Stadium|6.1665|1.40625|7.57275
289|AM Nayar|Buffalo Park|4.5645|4.539|9.1035
290|AM Nayar|Dr DY Patil Sports Academy|4.87725|3.6014999999999997|8.47875
291|AM Nayar|Feroz Shah Kotla|4.1895|4.539|8.7285
292|AM Nayar|M Chinnaswamy Stadium|3.8145|2.6639999999999997|6.4784999999999995
293|AM Nayar|MA Chidambaram Stadium, Chepauk|5.202|3.6014999999999997|8.8035
294|AM Nayar|New Wanderers Stadium|5.6895|2.6639999999999997|8.3535
295|AM Nayar|Punjab Cricket Association Stadium, Mohali|3.7244999999999995|2.6639999999999997|6.388499999999999
296|AM Nayar|Rajiv Gandhi International Stadium, Uppal|5.26425|3.6014999999999997|8.865749999999998
297|AM Nayar|Sawai Mansingh Stadium|4.827|2.6639999999999997|7.491
298|AM Nayar|Shaheed Veer Narayan Singh International Stadium|0.0|4.539|4.539
299|AM Nayar|St George's Park|4.8645|8.289|13.1535
300|AM Nayar|Subrata Roy Sahara Stadium|4.302|2.6639999999999997|6.965999999999999
301|AM Nayar|SuperSport Park|3.702|2.6639999999999997|6.366
302|AM Nayar|Wankhede Stadium|4.77075|2.6639999999999997|7.434749999999999
303|AM Rahane|SuperSport Park|10.10025|8.85|18.95025
304|AM Salvi|Himachal Pradesh Cricket Association Stadium|0.0|9.375|9.375
305|AM Salvi|Kingsmead|0.0|5.625|5.625
306|AM Salvi|New Wanderers Stadium|0.0|5.625|5.625
307|AM Salvi|Newlands|0.0|7.5|7.5
308|AM Salvi|OUTsurance Oval|0.0|9.375|9.375
309|AM Salvi|Rajiv Gandhi International Stadium, Uppal|0.0|7.5|7.5
310|AM Salvi|SuperSport Park|0.0|7.5|7.5
311|AN Ahmed|Eden Gardens|2.4382499999999996|7.260000000000001|9.69825
312|AN Ahmed|JSCA International Stadium Complex|2.36325|6.003750000000001|8.367
313|AN Ahmed|M Chinnaswamy Stadium|2.2507499999999996|5.385000000000001|7.63575
314|AN Ahmed|MA Chidambaram Stadium, Chepauk|2.8882499999999998|4.7475000000000005|7.63575
315|AN Ahmed|Rajiv Gandhi International Stadium, Uppal|0.0|5.066250000000001|5.066250000000001
316|AN Ahmed|Subrata Roy Sahara Stadium|0.0|7.87875|7.87875
317|AN Ahmed|Wankhede Stadium|0.0|5.535000000000001|5.535000000000001
318|AP Dole|Sawai Mansingh Stadium|7.6499999999999995|11.51325|19.163249999999998
319|AP Dole|Vidarbha Cricket Association Stadium, Jamtha|5.7|12.45075|18.15075
320|AR Patel|Barabati Stadium|3.42525|5.019749999999999|8.445
321|AR Patel|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|11.505|20.794999999999998|32.3
322|AR Patel|Dubai International Cricket Stadium|10.09225|21.107499999999995|31.199749999999995
323|AR Patel|Eden Gardens|3.9255|18.607499999999998|22.532999999999998
324|AR Patel|Feroz Shah Kotla|15.616|23.257499999999997|38.87349999999999
325|AR Patel|Holkar Cricket Stadium|14.061|19.432499999999997|33.4935
326|AR Patel|M Chinnaswamy Stadium|5.094|7.644749999999999|12.73875
327|AR Patel|M.Chinnaswamy Stadium|8.34225|16.087749999999996|24.429999999999996
328|AR Patel|MA Chidambaram Stadium, Chepauk|13.417499999999999|22.982499999999995|36.39999999999999
329|AR Patel|Maharashtra Cricket Association Stadium|14.761249999999999|18.607499999999998|33.36875
330|AR Patel|Punjab Cricket Association IS Bindra Stadium, Mohali|3.93975|22.307499999999997|26.247249999999998
331|AR Patel|Punjab Cricket Association Stadium, Mohali|4.47525|7.700999999999999|12.17625
332|AR Patel|Rajiv Gandhi International Stadium, Uppal|15.067249999999998|17.669999999999998|32.737249999999996
333|AR Patel|Sardar Patel Stadium, Motera|4.25025|8.769749999999998|13.02
334|AR Patel|Saurashtra Cricket Association Stadium|4.62525|10.64475|15.27
335|AR Patel|Sawai Mansingh Stadium|9.392249999999999|13.900249999999998|23.292499999999997
336|AR Patel|Sharjah Cricket Stadium|11.142249999999999|21.732499999999998|32.87475
337|AR Patel|Sheikh Zayed Stadium|12.729999999999999|21.294999999999998|34.025
338|AR Patel|Wankhede Stadium|13.817499999999999|21.263749999999998|35.08125
339|AS Joseph|Rajiv Gandhi International Stadium, Uppal|0.0|55.82325|55.82325
340|AS Joseph|Wankhede Stadium|7.0874999999999995|29.573249999999998|36.66075
